"CandidateID","CommitOrBranch","Description","Classification","Action","Rationale"
"CANDIDATE-01","acf36cdab7626738d34640cf27ea8339f0a49c4a","WIP on main: 33efc34 feat(auth, ui): add auth portal and sports3d ui","SUPERSEDED_BY_NEWER_IMPLEMENTATION","REJECT","Main branch already incorporates Sports3D, Assistant, and Black Gold Player Portal."
"CANDIDATE-02","9ff5ad78124fca35ea1af39cb3de4ed14c402ec3","feat(ui): fuse Traycer Mission 10X checkpoint onto Bolt main","ALREADY_PRESENT_SEMANTICALLY","REJECT","All 50 files present in canonical main at 614d90f."
"CANDIDATE-03","d1f10f6468582fe76bf618c2c721071c902fe9f3","feat(ui): fuse Traycer Mission 10X checkpoint onto Bolt main","ALREADY_PRESENT_SEMANTICALLY","REJECT","All 51 files present in canonical main at 614d90f."
"CANDIDATE-04","d74c89f7d39c4545c08c9f8dbc7d38cb93f7fb51","feat: add player portal styles with glassmorphism and high-contrast design","ALREADY_PRESENT_SEMANTICALLY","REJECT","All player portal black-gold stylesheets and routes present in canonical main."
"CANDIDATE-05","bfae47939d454b56e4bfa38470d4e62cb50d3e7a","On work/super-admin-operational-completion-09: uos-smart-merge-pre","SUPERSEDED_BY_NEWER_IMPLEMENTATION","REJECT","Historical merge commit superseded by subsequent commits on main."
"CANDIDATE-06","db6bd869f696bfb2b72d8e5bf6b9c4ceffe9d660","ci: verify typecheck and production build","ALREADY_PRESENT_SEMANTICALLY","REJECT",".github/workflows/verify.yml already exists in canonical main."
"CANDIDATE-07","ab2c91af956da6ea96cb8183367a1a21a937723a","untracked files on main: PlayerPortalMessagesPage.tsx","ALREADY_PRESENT_SEMANTICALLY","REJECT","src/pages/portal/player/PlayerPortalMessagesPage.tsx exists in canonical main."
"CANDIDATE-08","184978563320876d237ad72c822d7c27fcda8faf","index on main: 33efc34","SUPERSEDED_BY_NEWER_IMPLEMENTATION","REJECT","Zero file diff index entry."
"CANDIDATE-09","79210b5563bede7ed1acbb9479e4fd84c162e59e","index on main: 33efc34","SUPERSEDED_BY_NEWER_IMPLEMENTATION","REJECT","Zero file diff index entry."
"CANDIDATE-10","f64d599e225d2e515b76c56e9796b8972c805ac9","untracked files on work/super-admin-operational-completion-09","ALREADY_PRESENT_SEMANTICALLY","REJECT","All 13 files including previewAdminGateway.ts, EnterpriseUI, and AdminDirectoryWorkspaces exist in canonical main."
"CANDIDATE-11","ff3ed5ee32ec843c98780d029f88947011e7241f","refactor: harden shared UI settings and semantic theme closure","ALREADY_PRESENT_SEMANTICALLY","REJECT","Theme settings provider and theme-closure.css exist in canonical main."
"CANDIDATE-12","c1f46cd","Add spec workflow agents and configuration files","OBSOLETE","REJECT","External obsolete Claude tooling configuration files."
"CANDIDATE-13","2972a428d1368a18f14c55cc69ea901be9a0701c","feat(player-portal): add athlete player portal","OBSOLETE","REJECT","Outdated next-env.d.ts and lockfile diff."
"CANDIDATE-14","archive/stash-pre-mission07","Local branch with stash before Mission 07","SUPERSEDED_BY_NEWER_IMPLEMENTATION","REJECT","Mission 07-10 changes already superseded on main."
"CANDIDATE-15","archive/stash3-codex-safety-20260902","Codex safety stash","ALREADY_PRESENT_SEMANTICALLY","REJECT","visual-system.css already present in main."
"CANDIDATE-16","recovery/uos-visual-golden-20260904","Visual golden baseline branch","ALREADY_PRESENT_SEMANTICALLY","REJECT","Golden baseline files merged into canonical main at 614d90f."
"CANDIDATE-17","uos/donor-integration-20260903_142759","Consolidate pages into shared workspaces","ALREADY_PRESENT_SEMANTICALLY","REJECT","Directory, Finance, and Operational workspaces already present in canonical main."
